project,city,state
altoona school-museum,altoona,pa
east ghent-north,norfolk,va
university of md no 2,baltimore,md
john r-nine mile,hazel park,mi
west central indus,chicago,il
central bus dist,royersford,pa
north-lasalle,chicago,il
community renewal prog,richmond,va
central bus dist,boston,ma
perry park ngh (gn),brunswick,ga
downtown no 2,colton,ca
northside consrvn no 4,portsmouth,va
northeast,hendersonville,nc
queen city,poughkeepsie,ny
river and orb corr (fs),san antonio,tx
randolph conservation,richmond,va
demolition project,kingston,ny
webster st,bethlehem,pa
heritage park,elmira,ny
central bus dist (fs),statesville,nc
east hammond,hammond,in
neighborhood dev prog,ogden,ut
west side,pulaski,tn
east nashville,nashville,tn
central bus dist (fs),kalamazoo,mi
walnut st,harrisburg,pa
state st,bridgeport,ct
coronado,lubbock,tx
community renewal prog,chicago,il
neighborhood dev prog,mitchell,sd
