project,city,state
neighborhood dev prog,gary,in
myrtle - walnut bch (gn),milford,ct
code enforcement proj,chicago,il
durham c b d consrvn,durham,nc
union-swan,medford,ma
victorian village,cape may,nj
south walnut st,wilmington,de
demonstration project,seattle,wa
certified area prog,newark,nj
neighborhood dev prog,williamston,nc
mulligan skinner,eugene,or
neighborhood dev prog,marinette,wi
pan american,edinburg,tx
morningside,new york,ny
civic center,salina,ks
code enforcement proj,peekskill,ny
dunbar-wogman (gn),dayton,oh
chicopee falls no 1,chicopee,ma
community renewal prog,east orange,nj
centre st,pottsville,pa
east lincoln ave,east stroudsburg,pa
neighborhood dev prog,benton harbor,mi
parker hill-fenwy (gn),boston,ma
gnr area,san antonio,tx
demolition project,carbondale,il
downtown no 1,binghamton,ny
university,santa clara,ca
tunxis center,farmington,ct
interim asst prog,yonkers,ny
comeback 72,painted post,ny
west park,new york,ny
brooklyn ur area,charlotte,nc
eddy no 1,saginaw,mi
south st,somerville,nj
oakland center,pittsburgh,pa
lincoln st,wilkes barre,pa
west falls north dis,exeter twp,pa
center square,easton,pa
neighborhood dev prog,pawhuska,ok
mounts creek area,connellsville,pa
south derby (gn),derby,ct
neighborhood dev prog,kansas city,mo
neighborhood dev prog,bangor,me
pearl st,fall river,ma
fourth ward,east orange,nj
interim asst prog,bay st louis,ms
downtown (fs),memphis,tn
neighborhood dev prog,lake charles,la
downtown center,sioux falls,sd
demolition project,harford,ct
neighborhood dev prog,north hempstead,ny
berkley ave,chesapeake,va
bayside park,portland,me
code enforcement proj,wichita,ks
community renewal prog,greensboro,nc
center of lebanon no 1,lebanon,pa
smithfiel twp dis,smithfield,pa
project no 2,manchester,ct
walton way-calhoun st,augusta,ga
college ave,athens,ga
roosevelt-blue island,chicago,il
southeast no 1,augusta,ga
myrtle-humboldt,detroit,mi
code enforcement proj,east cleveland,oh
west end no 1,washington,nc
35th-south parkway,chicago,il
north campus,ellensburg,wa
longaker,lansdale,pa
east side,shelbyville,tn
e c m hospital,florence,al
genesee crossroads,rochester,ny
south end,new brighton,pa
new town ur area,milledgeville,ga
gateway city no 2,edinburg,tx
civic center,sumter,sc
southwest no 1,statesville,nc
south park,colby,ks
elk ave,elizbathtown,tn
delmar loop,university city,mo
nor-center (gn),norwood,oh
western addition,san francisco,ca
project no 1,saratoga springs,ny
north roulo,dearborn,mi
ocean park no 1b,santa monica,ca
downtown (gn),north little rock,ar
east boston,boston,ma
washington park,boston,ma
central haverhill (gn),haverhill,ma
john fitch way (gn),trenton,nj
forsyth st no 1,americus,ga
neighborhood dev prog,seaside,ca
code enforcement proj,richmond,va
center east (gn),danbury,ct
eastgate,monessen,pa
camden industrial park,baltimore,md
sunoco,canovanos,pr
code enforcement proj,annapolis,md
paisley,winston-salem,nc
cansler st,kings mountain,nc
neighborhood dev prog,chester,pa
10th st and Broadway,east saint louis,il
community renewal prog,reading,pa
ozark g n r area (gn),ozark,al
interim asst prog,kingston,pa
john fitch way area,trenton,nj
south broad,newark,nj
garden plaza,new boston,oh
madden hills,dayton,oh
hyde park b,chicago,il
ninth st,lebanon,pa
project c,troy,ny
douglass school (gn),columbia,mo
neighborhood dev prog,brownsville,pa
thames st (gn),newport,ri
orchard knob,chattanooga,tn
community renewal prog,albany,ny
penna military college,chester,pa
whittier school,denver,co
midtown,tupelo,ms
poquonoch,windsor,ct
neighborhood dev prog,carbondale,pa
sabana,guaynabo,pr
high-hanover sts,portsmouth,nh
west side,plymouth,in
brick capital no 1,sanford,nc
southeast miami,miami,ok
demolition project,niagara falls,ny
armourdale indus park,kansas city,ks
demonstration project,santa maria,ca
lynn ave,corbin,ky
court square,montgomery,al
west heights,muskegon heights,mi
brightwood,springfield,ma
walden square,cambridge,ma
north plaza,cairo,il
community renewal prog,chillicothe,oh
university city no 3,philadelphia,pa
water st,mobile,al
keosippi,keokuk,ia
santa rosa center,santa rosa,ca
administration ctr area,wichita,ks
northgate no 2,camden,nj
civic center (fs),pine bluff,ar
community renewal prog,dade county,fl
bay ave (gn),highlands,nj
hayti-elizabth st no 1,durham,nc
cascade,akron,oh
downtown,mcalester,ok
riverfront,tampa,fl
waterfront,buffalo,ny
wildwood ave,cleveland,tn
bexar avenue,hamilton,al
industrial expansion,south bend,in
east side area,dayton,oh
arbor hill (gn),albany,ny
central city ur area,ocean city,nj
g n r p area (gn),dayton,oh
neighborhood dev prog,san bernardino,ca
neighborhood dev prog,edinburg,tx
community renewal prog,lima,oh
east side,nanticoke,pa
centennial-pioneer,spencer,wv
lorain c,lorain,oh
oak ridge no 1,des moines,ia
university add-n lake,seattle,wa
community renewal project,houston,tx
mountain view stage 1,knoxville,tn
project no 1,newport,ky
neighborhood dev prog,salina,ks
eastside,milwaukee,wi
allen-mackenna e,niagara falls,ny
neighborhood dev prog,alma,mi
downtown ngh (gn),willmar,mn
project no 1,bridgeton,nj
central city,bismarck,nd
east church st,bordentown,nj
neighborhood dev prog,compton,ca
drake heights,thomaston,ga
norwayne homes area,nankin,mi
demolition project,albuquerque,nm
mid-downtown,lynchburg,va
certified area prog,gulfport,ms
demonstation project,plymouth,ma
old louisvle no 1,louisville,ky
port fulton (gn),jeffersonville,in
demonstration project,newark,nj
south central area,evansville,in
demolition project,worcester,ma
city-university,iowa city,ia
neighborhood dev prog,springfield,ma
north cetral ura,abilene,tx
north frankfort,frankfort,ky
neighborhood dev prog,mexico,mo
maryville no 1,maryville,tn
core city (gn),east saint louis,il
demolition proj,paterson,nj
brooklyn (gn),charlotte,nc
main st,albertville,al
central bus dist,south river,nj
church st ur area,mooresville,nc
saint croix,duluth,mn
demolition project,dickson city,pa
central city,charleroi,pa
new center,marlborough,ma
ridge avenue,neptune twp,nj
banana festival center,fulton,ky
lower main st,ossining,ny
west nanticoke dis,plymouth twp,pa
southwest,stanton,tx
civic center,san antonio,tx
neighborhood dev prog,bloomington,il
center st,tacoma,wa
memorial highway,springfield,tn
central bus dist n e,salamanca,ny
neighborhood dev proj,poteet,tx
neighborhood dev prog,saint paul,mn
howard high school,atlanta,ga
mount royal-fremont no 1 ext,baltimore,md
clarke school area,selma,al
university east,austin,tx
central bus dist no 1,niles,mi
first street,hopkins,mn
cultural center,new orleaans,la
neighborhood dev prog,st paul,va
progress,joplin,mo
community renewal prog,jersey city,nj
demolition project,wilkes barre,pa
central,hearne,tx
west end,new bedford,ma
c b d fringe no 1,pontiac,mi
shore front (gn),long branch,nj
town center,annapolis,md
mid-town mart,dayton,oh
west end no 1,stockton,ca
third ave,moultrie,ga
clark st,cullman,al
neighborhood dev prog,sumter,sc
lasalle park no 1,south bend,in
queen city no 2,mercedes,tx
interim asst prog,fitchburg,ma
golden gateway,chattanooga,tn
arrowhead,ashtabula,oh
interim asst prog,nashville,tn
neigborhood dev prog,new boston,oh
central indus dist fs,kansas city,ks
